Month,Year,Type,Country,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species
May,1988,Unprovoked,USA,"Paradise Beach Park, Brevard County",Surfing,M,31,Left foot bitten,N,18h30,
May,1988,Unprovoked,USA,"Melbourne Beach, Brevard County",Surfing / treading water,M,29,Left leg & right foot bitten,N,11h45,
Apr,1988,Unprovoked,USA,"Singer Island, Riviera Beach, Palm Beach County",Swimming,M,24,Lacerations to left foot,N,18h45,
Mar,1988,Unprovoked,South Africa,Isipingo,Surfing,M,17,"Lower left leg bitten, hand lacerated",N,16h45,
Feb,1988,Unprovoked,South Africa,Nahoon,Surfing,M,20,Ankle bitten,N,17h00,
Feb,1988,Unprovoked,South Africa,Mtunzini,Lying atop surfboard,F,15,"Leg bitten, surgically amputated",N,07h40,Zambezi shark
Jan,1988,,South Africa,Durban,Surfing,M,22,Minor injury to leg,,06h30,
Jan,1988,Provoked,South Africa,Struisbaai,Attempting to lasso shark's tail,M,33,Foot lacerated by hooked shark PROVOKED INCIDENT,N,11h15,Copper shark
Dec,1987,Unprovoked,USA,"Palm Beach, Palm Beach County",Surfing,M,16,Left calf bitten,N,13h00,Blacktip shark
Oct,1987,Unprovoked,USA,"Davenport Light, San Mateo County",Surfing,M,20,Buttock & leg bitten,N,17h00,
Oct,1987,,South Africa,Richards Bay,Boogie boarding,M,14,Abrasion to forearm,,16h00,
Oct,1987,Unprovoked,South Africa,"Seal Island, False Bay",Spearfishing,M,21,Left thigh & calf lacerated,N,12h15,White shark
Sep,1987,Unprovoked,Australia,"Merino Rocks, Adelaide",Scuba Diving for scallops,M,47,FATAL,Y,,White shark
Sep,1987,Unprovoked,South Africa,Still Bay,Surfing,M,24,Torso lacerated,N,11h00,White shark
Aug,1987,Unprovoked,USA,"Satellite  Beach, Brevard County",Wading,M,12,Lower left leg lacerated,N,11h30,
Aug,1987,Unprovoked,USA,"Tunitas Beach, San Mateo County",Surfing (sitting on his board),M,40,Fingers & surfboard injured,N,07h30,White shark
Jul,1987,Unprovoked,USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,27,Right foot & ankle lacerated,N,09h15,
Jul,1987,Unprovoked,USA,"Mustang Island, near Port Aransas",Body surfing,F,32,Left foot bitten,N,18h30,
Jul,1987,Unprovoked,USA,"Mustang Island, near Port Aransas",Wading,F,16,Puncture wounds to right foot,N,14h30,
Jul,1987,Unprovoked,Bahamas,Sampson Cay,Snorkeling,M,35,Right leg bitten,N,13h30,
Jun,1987,Provoked,USA,"Nest Key, Monroe County",Fishing,M,,Left hand bitten by shark he was dragging ashore by its head PROVOKED INCIDENT,N,Afternoon,Blacktip shark
Apr,1987,Unprovoked,USA,"Mustang Island, near Port Aransas",Swimming,F,16,Right arm severed above elbow,N,18h00,
Apr,1987,Unprovoked,Vanuatu,Vao Island,Swimming,M,8,FATAL,Y,12h00,
Mar,1987,Unprovoked,Australia,Fourth Beach / Twilgth Beach,Surfing,M,18,Calf lacerated,N,,Whaler shark
Jan,1987,Unprovoked,South Africa,Eerste River,Spearfishing,M,30,Puncture wounds to right hand,N,12h00,White shark
Jan,1987,Unprovoked,Australia,Lizard Island,Swimming,M,37,Right leg lacerated,N,07h00,
Dec,1986,Unprovoked,South Africa,Agulhas Banks,Spearfishing,M,,2 punctures in lower leg,N,14h00,Raggedtooth shark
Dec,1986,Unprovoked,South Africa,SAOU Strand,Body boarding,M,21,"FATAL, legs bitten ",Y,17h00,White shark
Dec,1986,Unprovoked,USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,40,Forearm bitten,N,14h00,Blacktip shark
Dec,1986,Unprovoked,USA,"Monastery Beach, Carmel River State Park, Monterey Peninsula, Monterey California",Free diving  & spearfishing (submerged),M,27,"Punctured lung, lacerations to shoulder, face, jaw, neck & forearm",N,10h00,White shark
Nov,1986,Unprovoked,USA,"Daytona Beach, Volusia County",Surfing,M,17,5' gash in leg,N,10h30,
Nov,1986,Unprovoked,USA,"Indiatlantic, Brevard County",Surfing,M,26,Laceration to dorsum of left foot,N,10h40,
Oct,1986,Unprovoked,USA,"Sanibel Island, Lee County",Swimming,F,6,Hip & thigh bitten,N,18h00,Lemon shark
Oct,1986,Unprovoked,South Africa,St. Michaels,Racing ski,M,32,"No injury, ski bitten",N,11h00,
Aug,1986,,South Africa,Reef on seaward side of Geyser Island,Spearfishing,M,35,"No injury, shark made threat display & impaled itself on spear ",,11h30,
Mar,1986,Unprovoked,Spain,Tarifa ,Windsurfing,M,,Foot severed,N,10h55,White shark
Mar,1986,Unprovoked,South Africa,"North Beach, Durban",Treading water,M,26,Foot bitten,N,16h15,
Mar,1986,Unprovoked,South Africa,"The Fence, King's Beach, Port Elizabeth",Surfing,M,23,"No injury, board struck by shark",N,,
Feb,1986,Unprovoked,South Africa,East London,Surfing,M,21,"No injury, board bitten",N,12h00,White shark
Feb,1986,Unprovoked,South Africa,"King's Beach, Port Elizabeth",Swimming,M,46,Lower leg lacerated,N,18h30,Raggedtooth shark
Feb,1986,Unprovoked,South Africa,Arniston,Spearfishing,M,29,2 punctures in upper arm,N,13h30,Raggedtooth shark
Feb,1986,Unprovoked,Australia,Jan Juc Beach,Surfing,M,29,"No injury, knocked into water & board bitten",N,06j00,Whaler shark
Jan,1986,Unprovoked,USA,"Singer Island, Riviera Beach, Palm Beach County",Surfing,M,22,Puncture wounds to both feet,N,08h35,Blacktip shark
Nov,1985,Provoked,Australia,Gladstone,Fishing,M,,Laceration to lower left leg by hooked shark PROVOKED INCIDENT,N,Afternoon,
